1627746298980;Model.NeuroTagMarkedAsTargetLogEntry;7
1627746298990;Model.SensorTelemetryLogEntry;97;95;97;98;97;96;99;98;C
1627746298990;Model.ExperimentEventLogEntry;started
1627746301208;Model.NeuroTagMarkedAsTargetLogEntry;2
1627746303574;Model.NeuroTagMarkedAsTargetLogEntry;9
1627746303575;Model.NeuroTagHitLogEntry;2
1627746305923;Model.NeuroTagMarkedAsTargetLogEntry;8
1627746305924;Model.NeuroTagHitLogEntry;9
1627746308272;Model.NeuroTagMarkedAsTargetLogEntry;7
1627746308272;Model.NeuroTagHitLogEntry;8
1627746331712;Model.NeuroTagConfidenceLogEntry;0;0.2092608
1627746332045;Model.NeuroTagConfidenceLogEntry;0;0.2680577
1627746332312;Model.NeuroTagConfidenceLogEntry;0;0.2041247
1627746332611;Model.NeuroTagConfidenceLogEntry;0;0.2639368
1627746332945;Model.NeuroTagMarkedAsTargetLogEntry;8
1627746332945;Model.NeuroTagHitLogEntry;0
1627746332945;Model.NeuroTagConfidenceLogEntry;8;0.0388578
1627746335277;Model.NeuroTagConfidenceLogEntry;8;0.1659688
1627746335577;Model.NeuroTagConfidenceLogEntry;8;0.1767205
1627746335876;Model.NeuroTagConfidenceLogEntry;8;0.1902512
1627746336176;Model.NeuroTagConfidenceLogEntry;8;0.244607
1627746336477;Model.NeuroTagConfidenceLogEntry;8;0.255211
1627746336776;Model.NeuroTagConfidenceLogEntry;8;0.2919475
1627746337076;Model.NeuroTagConfidenceLogEntry;8;0.2739131
1627746337359;Model.NeuroTagMarkedAsTargetLogEntry;7
1627746337359;Model.NeuroTagHitLogEntry;8
1627746339708;Model.NeuroTagMarkedAsTargetLogEntry;6
1627746339708;Model.NeuroTagHitLogEntry;7
1627746342057;Model.NeuroTagConfidenceLogEntry;6;0.2953273
1627746342357;Model.NeuroTagConfidenceLogEntry;6;0.2677979
1627746342656;Model.NeuroTagConfidenceLogEntry;6;0.2543153
1627746342957;Model.NeuroTagConfidenceLogEntry;6;0.2199505
1627746343257;Model.NeuroTagConfidenceLogEntry;6;0.2004186
1627746343557;Model.NeuroTagConfidenceLogEntry;6;0.2819507
1627746343857;Model.NeuroTagConfidenceLogEntry;6;0.2660352
1627746344156;Model.NeuroTagConfidenceLogEntry;6;0.2416649
1627746344455;Model.NeuroTagConfidenceLogEntry;6;0.2644042
1627746344756;Model.NeuroTagConfidenceLogEntry;6;0.20175
1627746345056;Model.NeuroTagConfidenceLogEntry;6;0.2157456
1627746345356;Model.NeuroTagConfidenceLogEntry;6;0.2448771
1627746345655;Model.NeuroTagConfidenceLogEntry;6;0.2848639
1627746345955;Model.NeuroTagConfidenceLogEntry;6;0.2782174
1627746346255;Model.NeuroTagConfidenceLogEntry;6;0.2626657
1627746346555;Model.NeuroTagMarkedAsTargetLogEntry;2
1627746346556;Model.NeuroTagHitLogEntry;6
1627746346556;Model.NeuroTagConfidenceLogEntry;2;0.06236998
1627746348904;Model.NeuroTagMarkedAsTargetLogEntry;6
1627746348904;Model.NeuroTagHitLogEntry;2
1627746351253;Model.NeuroTagConfidenceLogEntry;6;0.28093
1627746351553;Model.NeuroTagConfidenceLogEntry;6;0.2767845
1627746351852;Model.NeuroTagMarkedAsTargetLogEntry;5
1627746351852;Model.NeuroTagHitLogEntry;6
1627746354218;Model.NeuroTagMarkedAsTargetLogEntry;4
1627746354218;Model.NeuroTagHitLogEntry;5
1627746356550;Model.NeuroTagMarkedAsTargetLogEntry;7
1627746356550;Model.NeuroTagHitLogEntry;4
1627746358915;Model.NeuroTagMarkedAsTargetLogEntry;2
1627746358916;Model.NeuroTagHitLogEntry;7
1627746361248;Model.NeuroTagMarkedAsTargetLogEntry;5
1627746361248;Model.NeuroTagHitLogEntry;2
1627746363581;Model.NeuroTagMarkedAsTargetLogEntry;1
1627746363581;Model.NeuroTagHitLogEntry;5
1627746365929;Model.NeuroTagMarkedAsTargetLogEntry;8
1627746365929;Model.NeuroTagHitLogEntry;1
1627746365929;Model.NeuroTagConfidenceLogEntry;8;0
1627746368279;Model.NeuroTagConfidenceLogEntry;8;0.2159754
1627746368578;Model.NeuroTagConfidenceLogEntry;8;0.2764101
1627746368877;Model.NeuroTagConfidenceLogEntry;8;0.277754
1627746369178;Model.NeuroTagMarkedAsTargetLogEntry;0
1627746369178;Model.NeuroTagHitLogEntry;8
1627746371526;Model.NeuroTagConfidenceLogEntry;0;0.1918109
1627746371859;Model.NeuroTagConfidenceLogEntry;0;0.2078023
1627746372126;Model.NeuroTagConfidenceLogEntry;0;0.1877606
1627746372442;Model.NeuroTagConfidenceLogEntry;0;0.1957072
1627746372743;Model.NeuroTagConfidenceLogEntry;0;0.2277395
1627746373042;Model.NeuroTagConfidenceLogEntry;0;0.1989784
1627746373359;Model.NeuroTagConfidenceLogEntry;0;0.1355967
1627746373625;Model.NeuroTagConfidenceLogEntry;0;0.1216099
1627746373925;Model.NeuroTagConfidenceLogEntry;0;0.1709758
1627746374242;Model.NeuroTagConfidenceLogEntry;0;0.2010162
1627746374542;Model.NeuroTagConfidenceLogEntry;0;0.2065383
1627746374841;Model.NeuroTagConfidenceLogEntry;0;0.1859664
1627746375141;Model.NeuroTagConfidenceLogEntry;0;0.2294723
1627746375425;Model.NeuroTagMarkedAsTargetLogEntry;5
1627746375425;Model.NeuroTagHitLogEntry;0
1627746377791;Model.NeuroTagMarkedAsTargetLogEntry;2
1627746377791;Model.NeuroTagHitLogEntry;5
1627746380139;Model.NeuroTagMarkedAsTargetLogEntry;4
1627746380139;Model.NeuroTagHitLogEntry;2
1627746382488;Model.NeuroTagMarkedAsTargetLogEntry;8
1627746382488;Model.NeuroTagHitLogEntry;4
1627746384837;Model.NeuroTagMarkedAsTargetLogEntry;0
1627746384837;Model.NeuroTagHitLogEntry;8
1627746387153;Model.NeuroTagConfidenceLogEntry;0;0.2846287
1627746387486;Model.NeuroTagMarkedAsTargetLogEntry;5
1627746387486;Model.NeuroTagHitLogEntry;0
1627746389835;Model.NeuroTagMarkedAsTargetLogEntry;3
1627746389835;Model.NeuroTagHitLogEntry;5
1627746392184;Model.NeuroTagConfidenceLogEntry;3;0.2508596
1627746392484;Model.NeuroTagConfidenceLogEntry;3;0.2222176
1627746392784;Model.NeuroTagConfidenceLogEntry;3;0.2886598
1627746393067;Model.NeuroTagConfidenceLogEntry;3;0.2835849
1627746393366;Model.NeuroTagMarkedAsTargetLogEntry;5
1627746393367;Model.NeuroTagHitLogEntry;3
1627746395732;Model.NeuroTagMarkedAsTargetLogEntry;2
1627746395732;Model.NeuroTagHitLogEntry;5
1627746395732;Model.NeuroTagConfidenceLogEntry;2;0.05432193
1627746398047;Model.NeuroTagMarkedAsTargetLogEntry;6
1627746398047;Model.NeuroTagHitLogEntry;2
1627746400430;Model.NeuroTagMarkedAsTargetLogEntry;7
1627746400430;Model.NeuroTagHitLogEntry;6
1627746402746;Model.NeuroTagMarkedAsTargetLogEntry;8
1627746402746;Model.NeuroTagHitLogEntry;7
1627746405112;Model.NeuroTagConfidenceLogEntry;8;0.2564566
1627746405412;Model.NeuroTagConfidenceLogEntry;8;0.2408365
1627746405711;Model.NeuroTagConfidenceLogEntry;8;0.2648928
1627746406027;Model.NeuroTagConfidenceLogEntry;8;0.2813305
1627746406327;Model.NeuroTagConfidenceLogEntry;8;0.2893
1627746406628;Model.NeuroTagMarkedAsTargetLogEntry;3
1627746406628;Model.NeuroTagHitLogEntry;8
1627746408976;Model.NeuroTagMarkedAsTargetLogEntry;2
1627746408976;Model.NeuroTagHitLogEntry;3
1627746408976;Model.NeuroTagConfidenceLogEntry;2;0
1627746411308;Model.NeuroTagMarkedAsTargetLogEntry;7
1627746411308;Model.NeuroTagHitLogEntry;2
1627746411309;Model.NeuroTagConfidenceLogEntry;7;0.1589026
1627746413674;Model.NeuroTagMarkedAsTargetLogEntry;1
1627746413675;Model.NeuroTagHitLogEntry;7
1627746416022;Model.NeuroTagMarkedAsTargetLogEntry;3
1627746416023;Model.NeuroTagHitLogEntry;1
1627746418372;Model.NeuroTagMarkedAsTargetLogEntry;8
1627746418373;Model.NeuroTagHitLogEntry;3
1627746420721;Model.NeuroTagMarkedAsTargetLogEntry;2
1627746420721;Model.NeuroTagHitLogEntry;8
1627746420721;Model.NeuroTagConfidenceLogEntry;2;0
1627746423053;Model.NeuroTagMarkedAsTargetLogEntry;1
1627746423053;Model.NeuroTagHitLogEntry;2
1627746425402;Model.NeuroTagMarkedAsTargetLogEntry;6
1627746425402;Model.NeuroTagHitLogEntry;1
1627746427767;Model.NeuroTagMarkedAsTargetLogEntry;4
1627746427768;Model.NeuroTagHitLogEntry;6
1627746430083;Model.NeuroTagMarkedAsTargetLogEntry;8
1627746430083;Model.NeuroTagHitLogEntry;4
1627746432449;Model.NeuroTagMarkedAsTargetLogEntry;2
1627746432449;Model.NeuroTagHitLogEntry;8
1627746432449;Model.NeuroTagConfidenceLogEntry;2;0.006693181
1627746434798;Model.NeuroTagMarkedAsTargetLogEntry;8
1627746434798;Model.NeuroTagHitLogEntry;2
1627746437164;Model.NeuroTagConfidenceLogEntry;8;0.139044
1627746437430;Model.NeuroTagConfidenceLogEntry;8;0.1531201
1627746437729;Model.NeuroTagConfidenceLogEntry;8;0.2261145
1627746438063;Model.NeuroTagConfidenceLogEntry;8;0.2436211
1627746438330;Model.NeuroTagConfidenceLogEntry;8;0.2674873
1627746438613;Model.NeuroTagConfidenceLogEntry;8;0.07934938
1627746438946;Model.NeuroTagConfidenceLogEntry;8;0.08987313
1627746439245;Model.NeuroTagConfidenceLogEntry;8;0.1787216
1627746439546;Model.NeuroTagConfidenceLogEntry;8;0.1885654
1627746439846;Model.NeuroTagConfidenceLogEntry;8;0.1503324
1627746440146;Model.NeuroTagConfidenceLogEntry;8;0.1861613
1627746440446;Model.NeuroTagConfidenceLogEntry;8;0.09874399
1627746440746;Model.NeuroTagConfidenceLogEntry;8;0.08792346
1627746441045;Model.NeuroTagConfidenceLogEntry;8;0.2760677
1627746441345;Model.NeuroTagMarkedAsTargetLogEntry;0
1627746441345;Model.NeuroTagHitLogEntry;8
1627746443694;Model.NeuroTagMarkedAsTargetLogEntry;7
1627746443694;Model.NeuroTagHitLogEntry;0
1627746443695;Model.NeuroTagConfidenceLogEntry;7;0.07487502
1627746446043;Model.NeuroTagMarkedAsTargetLogEntry;2
1627746446043;Model.NeuroTagHitLogEntry;7
1627746448375;Model.NeuroTagMarkedAsTargetLogEntry;1
1627746448376;Model.NeuroTagHitLogEntry;2
1627746450725;Model.ExperimentEventLogEntry;finished
1627746450725;Model.NeuroTagHitLogEntry;1
